Virus Strain Name,Accession_ID,Lineage,Sample_Collection_Date,country,province,city
hCoV-19/Anhui/XCCDC-091/2023,EPI_ISL_17783642,FE.1.1,5/7/2023,China,Anhui,Xuancheng
hCoV-19/Anhui/XCCDC-085/2023,EPI_ISL_17783643,FE.1.1,5/7/2023,China,Anhui,Xuancheng
hCoV-19/Anhui/XCCDC-084/2023,EPI_ISL_17783644,FE.1.1,5/7/2023,China,Anhui,Xuancheng
hCoV-19/Anhui/XCCDC-092/2023,EPI_ISL_17783645,FE.1.1,5/7/2023,China,Anhui,Xuancheng
SARS-CoV-2/human/CHN/AQCDC-047/2023,EPI_ISL_17784861,BF.7.14,4/20/2023,China,Anhui,
SARS-CoV-2/human/CHN/AQCDC-048/2023,EPI_ISL_17784862,XBB.1.9.1,4/23/2023,China,Anhui,
SARS-CoV-2/human/CHN/AQCDC-049/2023,EPI_ISL_17784863,XBB.2.3.7,4/26/2023,China,Anhui,
SARS-CoV-2/human/CHN/AQCDC-050/2023,EPI_ISL_17784864,EG.4,4/25/2023,China,Anhui,
SARS-CoV-2/human/CHN/AQCDC-051/2023,EPI_ISL_17784865,XBB.1.5.2,4/25/2023,China,Anhui,
SARS-CoV-2/human/CHN/AQCDC-052/2023,EPI_ISL_17784866,FY.3,4/25/2023,China,Anhui,
SARS-CoV-2/human/CHN/AQCDC-053/2023,EPI_ISL_17784867,FY.3,4/25/2023,China,Anhui,
SARS-CoV-2/human/CHN/AQCDC-054/2023,EPI_ISL_17784868,XBB.1.5.24,4/25/2023,China,Anhui,
SARS-CoV-2/human/CHN/AQCDC-055/2023,EPI_ISL_17784869,FY.3,4/25/2023,China,Anhui,
SARS-CoV-2/human/CHN/AQCDC-056/2023,EPI_ISL_17784870,XBB.1.16,4/26/2023,China,Anhui,
SARS-CoV-2/human/CHN/AQCDC-057/2023,EPI_ISL_17784871,XBB.1.37.1,4/29/2023,China,Anhui,
SARS-CoV-2/human/CHN/AQCDC-058/2023,EPI_ISL_17784872,FY.3,4/28/2023,China,Anhui,
SARS-CoV-2/human/CHN/AQCDC-059/2023,EPI_ISL_17784873,FY.3,4/28/2023,China,Anhui,
SARS-CoV-2/human/CHN/AQCDC-060/2023,EPI_ISL_17784874,XBB.1.16,5/1/2023,China,Anhui,
SARS-CoV-2/human/CHN/AQCDC-061/2023,EPI_ISL_17784875,FL.2,4/29/2023,China,Anhui,
SARS-CoV-2/human/CHN/AQCDC-062/2023,EPI_ISL_17784876,XBB.1.5,5/2/2023,China,Anhui,
SARS-CoV-2/human/CHN/AQCDC-063/2023,EPI_ISL_17784877,XBL.3,5/4/2023,China,Anhui,
SARS-CoV-2/human/CHN/AQCDC-064/2023,EPI_ISL_17784878,XBB.1.9.1,5/5/2023,China,Anhui,
SARS-CoV-2/human/CHN/AQCDC-065/2023,EPI_ISL_17784879,XBB.1.16,5/5/2023,China,Anhui,
SARS-CoV-2/human/CHN/AQCDC-066/2023,EPI_ISL_17784880,FL.2,5/4/2023,China,Anhui,
SARS-CoV-2/human/CHN/AQCDC-067/2023,EPI_ISL_17784881,FL.2,5/4/2023,China,Anhui,
SARS-CoV-2/human/CHN/AQCDC-068/2023,EPI_ISL_17784882,FE.1.1,5/6/2023,China,Anhui,
SARS-CoV-2/human/CHN/AQCDC-069/2023,EPI_ISL_17784883,FL.2,5/6/2023,China,Anhui,
SARS-CoV-2/human/CHN/AQCDC-070/2023,EPI_ISL_17784884,FL.2,5/6/2023,China,Anhui,
SARS-CoV-2/human/CHN/AQCDC-071/2023,EPI_ISL_17784885,FL.2,5/6/2023,China,Anhui,
SARS-CoV-2/human/CHN/AQCDC-072/2023,EPI_ISL_17784886,XBB.1.5.16,5/5/2023,China,Anhui,
SARS-CoV-2/human/CHN/AQCDC-073/2023,EPI_ISL_17784887,FU.1,5/5/2023,China,Anhui,
SARS-CoV-2/human/CHN/AQCDC-074/2023,EPI_ISL_17784888,XBB.1.16,5/7/2023,China,Anhui,
SARS-CoV-2/human/CHN/AQCDC-075/2023,EPI_ISL_17784889,EG.5.1,5/6/2023,China,Anhui,
SARS-CoV-2/human/CHN/AQCDC-076/2023,EPI_ISL_17784890,FR.1,5/3/2023,China,Anhui,
SARS-CoV-2/human/CHN/AQCDC-077/2023,EPI_ISL_17784891,FL.4,4/30/2023,China,Anhui,
SARS-CoV-2/human/CHN/AQCDC-078/2023,EPI_ISL_17784892,XBB.1.5.24,5/2/2023,China,Anhui,
SARS-CoV-2/human/CHN/BJCDC-0845/2023,EPI_ISL_17784894,DY.2,3/29/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0846/2023,EPI_ISL_17784895,DY.2,3/28/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0853/2023,EPI_ISL_17784902,DY.2,3/31/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0855/2023,EPI_ISL_17784904,BF.7.14,3/31/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0857/2023,EPI_ISL_17784906,BF.7.14,3/31/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0858/2023,EPI_ISL_17784907,XBB.1.19.1,3/31/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0868/2023,EPI_ISL_17784911,BF.7.14,4/1/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0869/2023,EPI_ISL_17784912,BF.7.14,4/1/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0876/2023,EPI_ISL_17784919,DY.2,4/3/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0881/2023,EPI_ISL_17784924,DY.2,4/3/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0883/2023,EPI_ISL_17784926,DY.2,4/3/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0884/2023,EPI_ISL_17784927,DY.2,4/3/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0887/2023,EPI_ISL_17784929,DY.2,4/2/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0888/2023,EPI_ISL_17784930,XBB.1.19.1,4/4/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0889/2023,EPI_ISL_17784931,XBB.1.19.1,4/6/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0902/2023,EPI_ISL_17784932,BF.7.14,4/4/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0903/2023,EPI_ISL_17784933,XBB.1.19.1,4/6/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0904/2023,EPI_ISL_17784934,BF.7.14,4/6/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0906/2023,EPI_ISL_17784935,XBB.1.19.1,4/6/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0907/2023,EPI_ISL_17784936,BF.7.14,4/6/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0908/2023,EPI_ISL_17784937,XBB.1.19.1,4/6/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0909/2023,EPI_ISL_17784938,DY.2,4/6/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0910/2023,EPI_ISL_17784939,BF.7.14,4/6/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0911/2023,EPI_ISL_17784940,XBB.1.19.1,4/6/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0912/2023,EPI_ISL_17784941,XBB.1.19.1,4/6/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0913/2023,EPI_ISL_17784942,XBB.1.19.1,4/7/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0914/2023,EPI_ISL_17784943,XBB.1.19.1,4/7/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0915/2023,EPI_ISL_17784944,XBB.1.19.1,4/7/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0916/2023,EPI_ISL_17784945,XBB.1.19.1,4/7/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0917/2023,EPI_ISL_17784946,XBB.1.19.1,4/7/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0918/2023,EPI_ISL_17784947,XBB.1.19.1,4/7/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0919/2023,EPI_ISL_17784948,XBB.1.19.1,4/7/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0920/2023,EPI_ISL_17784949,XBB.1.19.1,4/7/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0921/2023,EPI_ISL_17784950,XBB.1.19.1,4/7/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0922/2023,EPI_ISL_17784951,XBB.1.19.1,4/7/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0923/2023,EPI_ISL_17784952,XBB.1.19.1,4/7/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0924/2023,EPI_ISL_17784953,BF.7.14,4/7/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0925/2023,EPI_ISL_17784954,BF.7.14,4/7/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0926/2023,EPI_ISL_17784955,BF.7.14,4/7/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0927/2023,EPI_ISL_17784956,BF.7.14,4/7/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0928/2023,EPI_ISL_17784957,BF.7.14,4/7/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0929/2023,EPI_ISL_17784958,BF.7.14,4/7/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0930/2023,EPI_ISL_17784959,BF.7.14,4/7/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0931/2023,EPI_ISL_17784960,BF.7.14,4/7/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0932/2023,EPI_ISL_17784961,BF.7.14,4/7/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0933/2023,EPI_ISL_17784962,BF.7.14,4/7/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0934/2023,EPI_ISL_17784963,BF.7.14,4/7/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0935/2023,EPI_ISL_17784964,XBB.1.19.1,4/7/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0936/2023,EPI_ISL_17784965,XBB.1.19.1,4/7/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0964/2023,EPI_ISL_17784966,BF.7.14,4/6/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0965/2023,EPI_ISL_17784967,BF.7.14,4/6/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0967/2023,EPI_ISL_17784969,BF.7.14,4/3/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0968/2023,EPI_ISL_17784970,BF.7.14,4/3/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0969/2023,EPI_ISL_17784971,BF.7.14,4/4/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0970/2023,EPI_ISL_17784972,BF.7.14,4/4/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0971/2023,EPI_ISL_17784973,XBB.1.5.24,4/9/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0972/2023,EPI_ISL_17784974,XBB.1.5.24,4/9/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0973/2023,EPI_ISL_17784975,XBB.1.5.24,4/9/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0974/2023,EPI_ISL_17784976,XBB.1.5.24,4/9/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0975/2023,EPI_ISL_17784977,BF.7.14,4/7/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0976/2023,EPI_ISL_17784978,XBB.1.19.1,4/7/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0977/2023,EPI_ISL_17784979,XBB.1.5.46,4/7/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0978/2023,EPI_ISL_17784980,XBB.1.9.1,4/7/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0979/2023,EPI_ISL_17784981,BF.7.14,4/8/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0980/2023,EPI_ISL_17784982,BF.7.14,4/8/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0981/2023,EPI_ISL_17784983,XBB.1.19.1,4/8/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0982/2023,EPI_ISL_17784984,BF.7.14,4/8/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0983/2023,EPI_ISL_17784985,BF.7.14,4/8/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0984/2023,EPI_ISL_17784986,XBB.1.19.1,4/9/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0985/2023,EPI_ISL_17784987,DY.2,4/9/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0986/2023,EPI_ISL_17784988,XBB.1.19.1,4/9/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0987/2023,EPI_ISL_17784989,XBB.1.19.1,4/9/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0988/2023,EPI_ISL_17784990,XBB.1.19.1,4/9/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0989/2023,EPI_ISL_17784991,XBB.1.19.1,4/9/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0990/2023,EPI_ISL_17784992,XBB.1.19.1,4/9/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0991/2023,EPI_ISL_17784993,DY.4,4/3/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0992/2023,EPI_ISL_17784994,BF.7.14,4/10/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0993/2023,EPI_ISL_17784995,BF.7.14,4/2/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0994/2023,EPI_ISL_17784996,BF.7.14,4/2/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0995/2023,EPI_ISL_17784997,BF.7.14,4/2/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0996/2023,EPI_ISL_17784998,BF.7.14,4/2/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0997/2023,EPI_ISL_17784999,BF.7.14,4/2/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0998/2023,EPI_ISL_17785000,BF.7.14,4/2/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-0999/2023,EPI_ISL_17785001,BF.7.14,4/2/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1000/2023,EPI_ISL_17785002,BF.7.14,4/3/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1001/2023,EPI_ISL_17785003,BF.7.14,4/3/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1002/2023,EPI_ISL_17785004,BF.7.14,4/3/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1003/2023,EPI_ISL_17785005,BA.5.2.48,4/3/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1004/2023,EPI_ISL_17785006,BA.5.2.48,4/8/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1005/2023,EPI_ISL_17785007,DY.2,4/7/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1006/2023,EPI_ISL_17785008,DY.2,4/6/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1007/2023,EPI_ISL_17785009,BA.5.2.48,4/3/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1008/2023,EPI_ISL_17785010,DY.2,4/11/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1009/2023,EPI_ISL_17785011,DY.2,4/11/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1010/2023,EPI_ISL_17785012,DY.2,4/11/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1011/2023,EPI_ISL_17785013,DY.2,4/11/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1012/2023,EPI_ISL_17785014,DY.2,4/11/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1013/2023,EPI_ISL_17785015,DY.2,4/11/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1014/2023,EPI_ISL_17785016,XBB.1.16,4/8/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1033/2023,EPI_ISL_17785017,XBB.1.16,4/10/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1035/2023,EPI_ISL_17785019,XBB.1.5,4/3/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1037/2023,EPI_ISL_17785021,BN.1.3.5,4/3/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1041/2023,EPI_ISL_17785024,XBB.1.19.1,4/13/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1069/2023,EPI_ISL_17785039,BA.5.2.48,4/10/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1070/2023,EPI_ISL_17785040,FY.3,4/17/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1077/2023,EPI_ISL_17785047,DY.4,4/18/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1119/2023,EPI_ISL_17785052,XBB.1.9.1,4/14/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1120/2023,EPI_ISL_17785053,XBB.1.9.1,4/18/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1121/2023,EPI_ISL_17785054,XBB.1.5,4/19/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1124/2023,EPI_ISL_17785057,DY.3,4/14/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1125/2023,EPI_ISL_17785058,DY.3,4/14/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1127/2023,EPI_ISL_17785059,BF.7.14.1,4/18/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1128/2023,EPI_ISL_17785060,FU.1,4/18/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1129/2023,EPI_ISL_17785061,BF.7.14,4/16/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1130/2023,EPI_ISL_17785062,BF.7.14,4/17/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1131/2023,EPI_ISL_17785063,BF.7.14.1,4/18/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1136/2023,EPI_ISL_17785068,XBB.1.19.1,4/16/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1137/2023,EPI_ISL_17785069,XBB.1.19.1,4/16/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1138/2023,EPI_ISL_17785070,BF.7.14,4/17/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1140/2023,EPI_ISL_17785072,XBB.1.19.1,4/17/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1142/2023,EPI_ISL_17785074,BA.5.2.49,4/17/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1143/2023,EPI_ISL_17785075,XBB.1.19.1,4/17/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1145/2023,EPI_ISL_17785077,XBB.1.19.1,4/17/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1146/2023,EPI_ISL_17785078,BA.5.2.48,4/17/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1147/2023,EPI_ISL_17785079,EU.1.1,4/17/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1153/2023,EPI_ISL_17785085,CH.1.1.1,4/17/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1154/2023,EPI_ISL_17785086,XBB.1.19.1,4/17/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1158/2023,EPI_ISL_17785090,XBB.1.9.1,4/20/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1159/2023,EPI_ISL_17785091,BF.7.14,4/17/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1160/2023,EPI_ISL_17785092,BF.7.14,4/17/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1161/2023,EPI_ISL_17785093,DY.2,4/17/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1162/2023,EPI_ISL_17785094,DY.2,4/18/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1163/2023,EPI_ISL_17785095,BF.7.14,4/13/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1166/2023,EPI_ISL_17785098,XBB.1.19.1,4/14/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1213/2023,EPI_ISL_17785103,XBB.1.5,4/24/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1215/2023,EPI_ISL_17785105,XBB.1.19.1,4/24/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1216/2023,EPI_ISL_17785106,XBB.1.9.1,4/25/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1217/2023,EPI_ISL_17785107,FR.1,4/25/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1218/2023,EPI_ISL_17785108,XBB.1.9.6,4/25/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1219/2023,EPI_ISL_17785109,FR.1,4/26/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1220/2023,EPI_ISL_17785110,XBB.1.16,4/26/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1221/2023,EPI_ISL_17785111,XBB.1.16,4/26/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1222/2023,EPI_ISL_17785112,XBB.1.16,4/26/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1223/2023,EPI_ISL_17785113,XBB.1.16,4/26/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1225/2023,EPI_ISL_17785115,XBB.1.9.1,4/24/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1226/2023,EPI_ISL_17785116,BF.7.14,4/26/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1227/2023,EPI_ISL_17785117,XBB.1.19.1,4/27/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1228/2023,EPI_ISL_17785118,XBB.1.16,4/27/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1229/2023,EPI_ISL_17785119,XBB.1.16.2,4/27/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1230/2023,EPI_ISL_17785120,FU.1,4/27/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1231/2023,EPI_ISL_17785121,XBB.1.9.1,4/27/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1232/2023,EPI_ISL_17785122,XBB.1.5.24,4/22/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1233/2023,EPI_ISL_17785123,FL.12,4/20/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1234/2023,EPI_ISL_17785124,BF.7.14.1,4/24/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1235/2023,EPI_ISL_17785125,XBB.1.19.1,4/27/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1236/2023,EPI_ISL_17785126,XBB.1.19.1,4/27/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1237/2023,EPI_ISL_17785127,XBB.1.9.6,4/27/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1238/2023,EPI_ISL_17785128,XBB.1.9.6,4/27/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1239/2023,EPI_ISL_17785129,XBB.1.9.6,4/27/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1240/2023,EPI_ISL_17785130,FY.3,4/20/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1241/2023,EPI_ISL_17785131,XBB.1.9.2,4/22/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1242/2023,EPI_ISL_17785132,XBB.1.16.1,4/21/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1244/2023,EPI_ISL_17785134,XBB.1.9.6,4/22/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1245/2023,EPI_ISL_17785135,XBB.1.19.1,4/22/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1246/2023,EPI_ISL_17785136,XBB.1.19.1,4/22/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1248/2023,EPI_ISL_17785137,BF.7.14,4/25/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1249/2023,EPI_ISL_17785138,BF.7.14,4/26/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1250/2023,EPI_ISL_17785139,FL.5,4/26/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1251/2023,EPI_ISL_17785140,XBB.2.3.7,4/26/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1252/2023,EPI_ISL_17785141,DY.2,4/27/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1253/2023,EPI_ISL_17785142,FL.4,4/27/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1255/2023,EPI_ISL_17785144,BF.7.14,4/27/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1256/2023,EPI_ISL_17785145,BF.7.14,4/25/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1257/2023,EPI_ISL_17785146,XBB.1.5.24,4/25/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1258/2023,EPI_ISL_17785147,XBB.1.9.1,4/25/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1259/2023,EPI_ISL_17785148,XBB.1.5.24,4/25/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1262/2023,EPI_ISL_17785151,BA.5.2.50,4/24/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1263/2023,EPI_ISL_17785152,BF.7.14.1,4/27/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1264/2023,EPI_ISL_17785153,XBB.1.19.1,4/27/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1266/2023,EPI_ISL_17785155,XBB.2.3.6,4/27/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1267/2023,EPI_ISL_17785156,XBB.1.19.1,4/27/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1268/2023,EPI_ISL_17785157,FY.3,4/26/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1269/2023,EPI_ISL_17785158,FL.2,4/26/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1271/2023,EPI_ISL_17785159,XBB.1.9.6,4/26/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1272/2023,EPI_ISL_17785160,FL.1,4/26/2023,China,Beijing,
SARS-CoV-2/human/CHN/BJCDC-1273/2023,EPI_ISL_17785161,XBB.1.19.1,4/25/2023,China,Beijing,
