Virus_Strain_Name	Accession_ID	Lineage	Sample_Collection_Date	country	province	city	merged_lineage	date
hCoV-19/Shanghai/SCDC-XG05-3488/2023	EPI_ISL_17645777	BN.1.2	4/28/2023	China	Shanghai		BA.2.75*	4/28/2023
hCoV-19/Shanghai/SCDC-XG05-3474/2023	EPI_ISL_17645770	BN.1.3	4/30/2023	China	Shanghai		BA.2.75*	4/30/2023
hCoV-19/Shanghai/SCDC-HG0505-514/2023	EPI_ISL_17645754	GJ.1.2	5/3/2023	China	Shanghai		Others	5/3/2023
hCoV-19/Shanghai/SCDC-HG0504-502/2023	EPI_ISL_17645742	FR.1.3	5/2/2023	China	Shanghai		BA.2.75*	5/2/2023
hCoV-19/Shanghai/SCDC-HG0504-477/2023	EPI_ISL_17645717	XBB.1.16	5/1/2023	China	Shanghai		XBB.1.16*	5/1/2023
hCoV-19/Hubei/HCDC-1167/2023	EPI_ISL_17645518	FL.2	5/4/2023	China	Hubei	Xiaogan	XBB.1.9.1*	5/4/2023
hCoV-19/Hubei/HCDC-1162/2023	EPI_ISL_17645513	FL.2.3	5/1/2023	China	Hubei	Xiaogan	XBB.1.9.1*	5/1/2023
hCoV-19/Hubei/HCDC-1209/2023	EPI_ISL_17645487	FR.1.1	5/4/2023	China	Hubei	Qianjiang	BA.2.75*	5/4/2023
hCoV-19/Hubei/HCDC-1174/2023	EPI_ISL_17645466	BF.7.14.5	5/4/2023	China	Hubei	Jingzhou	BF.7.14*	5/4/2023
hCoV-19/Hubei/HCDC-1199/2023	EPI_ISL_17645458	FR.1.1	5/2/2023	China	Hubei	Huangshi	BA.2.75*	5/2/2023
hCoV-19/Hubei/HCDC-1198/2023	EPI_ISL_17645457	EG.5.1.1	4/28/2023	China	Hubei	Huangshi	EG.5.1*	4/28/2023
hCoV-19/Hubei/HCDC-1195/2023	EPI_ISL_17645454	FY.3.1	5/1/2023	China	Hubei	Huangshi	XBB.1.22.1*	5/1/2023
hCoV-19/Hubei/HCDC-EZ1149/2023	EPI_ISL_17645438	FY.3.1	4/29/2023	China	Hubei	Ezhou	XBB.1.22.1*	4/29/2023
hCoV-19/Hubei/HCDC-EZ1148/2023	EPI_ISL_17645437	FL.4.11	5/1/2023	China	Hubei	Ezhou	XBB.1.9.1*	5/1/2023
hCoV-19/Sichuan/CDCDC-19-CX1200/2023	EPI_ISL_17645408	XBB.1.9.5	5/4/2023	China	Sichuan	Chengdu	Others	5/4/2023
hCoV-19/Sichuan//MYCDC-XGCX082/2023	EPI_ISL_17637504	DY.2	4/20/2023	China	Sichuan	Mianyang	BA.5.2.48*	4/20/2023
hCoV-19/Sichuan/LSCDC-0428-3/2023	EPI_ISL_17637503	FR.1.1	4/19/2023	China	Sichuan	Leshan	BA.2.75*	4/19/2023
hCoV-19/Jiangsu/YZCDC-053/2023	EPI_ISL_17637492	XBB.1.42.2	4/18/2023	China	Jiangsu	Yangzhou	Others	4/18/2023
hCoV-19/Jiangsu/YCCDC-172/2023	EPI_ISL_17637481	FR.1	4/14/2023	China	Jiangsu	Yancheng	BA.2.75*	4/14/2023
hCoV-19/Jiangsu/XZCDC-301/2023	EPI_ISL_17637479	EU.1.1	4/21/2023	China	Jiangsu	Xuzhou	XBB.1.5*	4/21/2023
hCoV-19/Jiangsu/XZCDC-286/2023	EPI_ISL_17637478	EU.1.1	4/23/2023	China	Jiangsu	Xuzhou	XBB.1.5*	4/23/2023
hCoV-19/Jiangsu/XZCDC-278/2023	EPI_ISL_17637477	GF.1	4/24/2023	China	Jiangsu	Xuzhou	XBB.1.5*	4/24/2023
hCoV-19/Jiangsu/XZCDC-236/2023	EPI_ISL_17637476	EU.1.1	4/18/2023	China	Jiangsu	Xuzhou	XBB.1.5*	4/18/2023
hCoV-19/Jiangsu/WXCDC-153/2023	EPI_ISL_17637463	XBB.1.16.1	4/19/2023	China	Jiangsu	Wuxi	XBB.1.16*	4/19/2023
hCoV-19/Jiangsu/SZCDC-345/2023	EPI_ISL_17637436	FR.1	4/9/2023	China	Jiangsu	Suzhou	BA.2.75*	4/9/2023
hCoV-19/Jiangsu/SZCDC-344/2023	EPI_ISL_17637435	FR.1	4/11/2023	China	Jiangsu	Suzhou	BA.2.75*	4/11/2023
hCoV-19/Jiangsu/SZCDC-339/2023	EPI_ISL_17637433	FR.1	4/8/2023	China	Jiangsu	Suzhou	BA.2.75*	4/8/2023
hCoV-19/Jiangsu/SZCDC-337/2023	EPI_ISL_17637431	FR.1	4/5/2023	China	Jiangsu	Suzhou	BA.2.75*	4/5/2023
hCoV-19/Jiangsu/SZCDC-336/2023	EPI_ISL_17637430	DY.4	4/11/2023	China	Jiangsu	Suzhou	BA.5.2.48*	4/11/2023
hCoV-19/Jiangsu/SZCDC-334/2023	EPI_ISL_17637428	DY.4	4/11/2023	China	Jiangsu	Suzhou	BA.5.2.48*	4/11/2023
hCoV-19/Jiangsu/NTCDC-109/2023	EPI_ISL_17637419	BN.1.1.1	4/12/2023	China	Jiangsu	Nantong	BA.2.75*	4/12/2023
hCoV-19/Jiangsu/NTCDC-108/2023	EPI_ISL_17637418	BN.1.1.1	4/12/2023	China	Jiangsu	Nantong	BA.2.75*	4/12/2023
hCoV-19/Jiangsu/NTCDC-107/2023	EPI_ISL_17637417	BN.1.1.1	4/12/2023	China	Jiangsu	Nantong	BA.2.75*	4/12/2023
hCoV-19/Jiangsu/NTCDC-106/2023	EPI_ISL_17637416	BN.1.1.1	4/11/2023	China	Jiangsu	Nantong	BA.2.75*	4/11/2023
hCoV-19/Jiangsu/NJCDC-299/2023	EPI_ISL_17637414	XBB.1.16.1	4/23/2023	China	Jiangsu	Nanjing	XBB.1.16*	4/23/2023
hCoV-19/Jiangsu/NJCDC-279/2023	EPI_ISL_17637396	BN.1.2.7	4/15/2023	China	Jiangsu	Nanjing	BA.2.75*	4/15/2023
hCoV-19/Jiangsu/NJCDC-267/2023	EPI_ISL_17637384	XBL.2	4/12/2023	China	Jiangsu	Nanjing	Others	4/12/2023
hCoV-19/Jiangsu/NJCDC-261/2023	EPI_ISL_17637381	BF.7.14.5	4/11/2023	China	Jiangsu	Nanjing	BF.7.14*	4/11/2023
hCoV-19/Jiangsu/NJCDC-251/2023	EPI_ISL_17637374	BN.1.2.7	4/11/2023	China	Jiangsu	Nanjing	BA.2.75*	4/11/2023
hCoV-19/Jiangsu/LYGCDC-106/2023	EPI_ISL_17637372	BF.7.14	4/19/2023	China	Jiangsu	Lianyungang	BF.7.14*	4/19/2023
hCoV-19/Hong Kong/VK23009998/2023	EPI_ISL_17633752	CH.1.1	4/23/2023	China	Hong Kong		BA.2.75*	4/23/2023
hCoV-19/Hong Kong/VB23047487/2023	EPI_ISL_17633735	XBB.1.9.1	4/28/2023	China	Hong Kong		XBB.1.9.1*	4/28/2023
hCoV-19/Hong Kong/VB23046490/2023	EPI_ISL_17633733	XBB.1.5	4/27/2023	China	Hong Kong		XBB.1.5*	4/27/2023
hCoV-19/Hong Kong/VB23045163/2023	EPI_ISL_17633726	XBB.1.16.1	4/25/2023	China	Hong Kong		XBB.1.16*	4/25/2023
hCoV-19/Hong Kong/VB23044041/2023	EPI_ISL_17633717	XBB.1.24.1	4/24/2023	China	Hong Kong		Others	4/24/2023
hCoV-19/Hong Kong/VB23043967/2023	EPI_ISL_17633716	GB.2	4/24/2023	China	Hong Kong		XBB.1.5*	4/24/2023
hCoV-19/Hong Kong/VB23035778/2023	EPI_ISL_17633679	BN.1.2.2	4/17/2023	China	Hong Kong		BA.2.75*	4/17/2023
hCoV-19/Sichuan/DYCDC-021/2023	EPI_ISL_17632968	BF.7.14.4	4/10/2023	China	Sichuan	Deyang	BF.7.14*	4/10/2023
hCoV-19/Sichuan/CDCDC-19-CX694/2023	EPI_ISL_17632952	XBB.1.16	4/21/2023	China	Sichuan	Chengdu	XBB.1.16*	4/21/2023
hCoV-19/Sichuan/CDCDC-19-CX699/2023	EPI_ISL_17632951	BF.7.14	4/21/2023	China	Sichuan	Chengdu	BF.7.14*	4/21/2023
hCoV-19/Shanghai/SCDC-3355/2023	EPI_ISL_17625647	XBB.1.16	4/26/2023	China	Shanghai		XBB.1.16*	4/26/2023
hCoV-19/Shanghai/SCDC-3253/2023	EPI_ISL_17625605	DY.1	4/24/2023	China	Shanghai		BA.5.2.48*	4/24/2023
hCoV-19/Shanghai/SCDC-3399/2023	EPI_ISL_17625599	DY.1	4/20/2023	China	Shanghai		BA.5.2.48*	4/20/2023
hCoV-19/Shanghai/SCDC-3301/2023	EPI_ISL_17625583	DV.6.2	4/21/2023	China	Shanghai		BA.2.75*	4/21/2023
hCoV-19/Shanghai/SCDC-3307/2023	EPI_ISL_17625580	BF.7.14.1	4/20/2023	China	Shanghai		BF.7.14*	4/20/2023
hCoV-19/Shanghai/SCDC-3442/2023	EPI_ISL_17625574	BN.1.2	4/26/2023	China	Shanghai		BA.2.75*	4/26/2023
hCoV-19/Shanghai/SCDC-3440/2023	EPI_ISL_17625570	DY.4	4/26/2023	China	Shanghai		BA.5.2.48*	4/26/2023
hCoV-19/Shanghai/SCDC-3394/2023	EPI_ISL_17625566	DY.2	4/18/2023	China	Shanghai		BA.5.2.48*	4/18/2023
hCoV-19/Shanghai/SCDC-3343/2023	EPI_ISL_17625537	BQ.1.1.18	4/23/2023	China	Shanghai		Others	4/23/2023
hCoV-19/Shanghai/SCDC-3295/2023	EPI_ISL_17625522	FR.1.1	4/23/2023	China	Shanghai		BA.2.75*	4/23/2023
hCoV-19/Shanghai/SCDC-3352/2023	EPI_ISL_17625521	BN.1.2	4/26/2023	China	Shanghai		BA.2.75*	4/26/2023
hCoV-19/Shanghai/SCDC-3240/2023	EPI_ISL_17625504	BN.1.3.5	4/26/2023	China	Shanghai		BA.2.75*	4/26/2023
hCoV-19/Shanghai/SCDC-3220/2023	EPI_ISL_17625487	FL.13.1	4/25/2023	China	Shanghai		XBB.1.9.1*	4/25/2023
hCoV-19/Shanghai/SCDC-3246/2023	EPI_ISL_17625460	DY.1	4/23/2023	China	Shanghai		BA.5.2.48*	4/23/2023
hCoV-19/Shanghai/SCDC-412/2023	EPI_ISL_17625458	XBL.3	4/28/2023	China	Shanghai		Others	4/28/2023
hCoV-19/Shanghai/SCDC-3280/2023	EPI_ISL_17625438	XBB.1.16	4/26/2023	China	Shanghai		XBB.1.16*	4/26/2023
hCoV-19/Shanghai/SCDC-417/2023	EPI_ISL_17625420	XBB.1.16	4/28/2023	China	Shanghai		XBB.1.16*	4/28/2023
hCoV-19/Shanghai/SCDC-3390/2023	EPI_ISL_17625417	DY.2	4/18/2023	China	Shanghai		BA.5.2.48*	4/18/2023
hCoV-19/Hubei/HCDC-1030/2023	EPI_ISL_17625414	FL.13.1	4/27/2023	China	Hubei	Yichang	XBB.1.9.1*	4/27/2023
hCoV-19/Hubei/HCDC-1137/2023	EPI_ISL_17625409	FY.3.1	5/3/2023	China	Hubei	Yichang	XBB.1.22.1*	5/3/2023
hCoV-19/Hubei/HCDC-1132/2023	EPI_ISL_17625405	FL.4.5	5/2/2023	China	Hubei	Yichang	XBB.1.9.1*	5/2/2023
hCoV-19/Hubei/HCDC-1007/2023	EPI_ISL_17625403	FL.13.1	4/25/2023	China	Hubei	Yichang	XBB.1.9.1*	4/25/2023
hCoV-19/Hubei/HCDC-1093/2023	EPI_ISL_17625401	GY.1	4/29/2023	China	Hubei	Yichang	XBB.1.16*	4/29/2023
hCoV-19/Hubei/HCDC-0999/2023	EPI_ISL_17625385	FR.1.4	4/27/2023	China	Hubei	Xiantao	BA.2.75*	4/27/2023
hCoV-19/Hubei/HCDC-XN1124/2023	EPI_ISL_17625382	FL.13.1	5/2/2023	China	Hubei	Xianning	XBB.1.9.1*	5/2/2023
hCoV-19/Hubei/HCDC-XN1125/2023	EPI_ISL_17625373	FU.1	5/2/2023	China	Hubei	Xianning	XBB.1.16*	5/2/2023
hCoV-19/Hubei/HCDC-XN1018/2023	EPI_ISL_17625372	BF.7.14.4	4/26/2023	China	Hubei	Xianning	BF.7.14*	4/26/2023
hCoV-19/Hubei/HCDC-1072/2023	EPI_ISL_17625367	FL.13.1	4/28/2023	China	Hubei	Xiangyang	XBB.1.9.1*	4/28/2023
hCoV-19/Hubei/HCDC-1073/2023	EPI_ISL_17625360	FL.2.3	4/28/2023	China	Hubei	Xiangyang	XBB.1.9.1*	4/28/2023
hCoV-19/Hubei/HCDC-1099/2023	EPI_ISL_17625343	BF.7.14	5/2/2023	China	Hubei	Tianmen	BF.7.14*	5/2/2023
hCoV-19/Hubei/HCDC-1059/2023	EPI_ISL_17625312	FU.1	4/27/2023	China	Hubei	Jingzhou	XBB.1.16*	4/27/2023
hCoV-19/Hubei/HCDC-1026/2023	EPI_ISL_17625285	GF.1	4/27/2023	China	Hubei	Huangshi	XBB.1.5*	4/27/2023
hCoV-19/Hubei/HCDC-1020/2023	EPI_ISL_17625283	XBB.1.16	4/27/2023	China	Hubei	Huangshi	XBB.1.16*	4/27/2023
hCoV-19/Hubei/HCDC-1042/2023	EPI_ISL_17625281	XBB.1.16	4/24/2023	China	Hubei	Huangshi	XBB.1.16*	4/24/2023
hCoV-19/Hubei/HCDC-EZ1037/2023	EPI_ISL_17625260	FY.3.1	4/28/2023	China	Hubei	Ezhou	XBB.1.22.1*	4/28/2023
hCoV-19/Shanghai/SCDC-XG04-2691/2023	EPI_ISL_17619312	BF.7.14	4/14/2023	China	Shanghai		BF.7.14*	4/14/2023
hCoV-19/Shanghai/SCDC-XG04-2687/2023	EPI_ISL_17619308	BF.7.14.6	4/11/2023	China	Shanghai		BF.7.14*	4/11/2023
hCoV-19/Shanghai/SCDC-XG04-2682/2023	EPI_ISL_17619302	DV.6.2	4/16/2023	China	Shanghai		BA.2.75*	4/16/2023
hCoV-19/Shanghai/SCDC-XG04-2662/2023	EPI_ISL_17619262	BN.1.3.13	4/17/2023	China	Shanghai		BA.2.75*	4/17/2023
hCoV-19/Shanghai/SCDC-XG04-2642/2023	EPI_ISL_17619223	BQ.1.1.18	4/14/2023	China	Shanghai		Others	4/14/2023
hCoV-19/Shanghai/SCDC-XG04-2639/2023	EPI_ISL_17619216	XBB.1.5	4/13/2023	China	Shanghai		XBB.1.5*	4/13/2023
hCoV-19/Shanghai/SCDC-XG04-2638/2023	EPI_ISL_17619214	XBB.1.5	4/12/2023	China	Shanghai		XBB.1.5*	4/12/2023
hCoV-19/Shanghai/SCDC-XG04-3207/2023	EPI_ISL_17619180	BN.1.2	4/22/2023	China	Shanghai		BA.2.75*	4/22/2023
hCoV-19/Shanghai/SCDC-XG04-3199/2023	EPI_ISL_17619166	DY.4	4/22/2023	China	Shanghai		BA.5.2.48*	4/22/2023
hCoV-19/Shanghai/SCDC-XG04-3185/2023	EPI_ISL_17619142	XBL.3	4/26/2023	China	Shanghai		Others	4/26/2023
hCoV-19/Shanghai/SCDC-XG04-3147/2023	EPI_ISL_17619084	EG.5.1.1	4/26/2023	China	Shanghai		EG.5.1*	4/26/2023
hCoV-19/Shanghai/SCDC-XG04-3125/2023	EPI_ISL_17619042	BQ.1.1.18	4/23/2023	China	Shanghai		Others	4/23/2023
hCoV-19/Shanghai/SCDC-XG04-3092/2023	EPI_ISL_17619027	BF.7.14.1	4/21/2023	China	Shanghai		BF.7.14*	4/21/2023
hCoV-19/Shanghai/SCDC-XG04-3087/2023	EPI_ISL_17619017	BF.7.14.6	4/21/2023	China	Shanghai		BF.7.14*	4/21/2023
hCoV-19/Shanghai/SCDC-XG04-3082/2023	EPI_ISL_17619006	FY.3.3	4/23/2023	China	Shanghai		XBB.1.22.1*	4/23/2023
hCoV-19/Shanghai/SCDC-XG04-3040_4/2023	EPI_ISL_17618963	DY.4	4/21/2023	China	Shanghai		BA.5.2.48*	4/21/2023
hCoV-19/Shanghai/SCDC-XG04-2956/2023	EPI_ISL_17618787	BN.1.3.5	4/20/2023	China	Shanghai		BA.2.75*	4/20/2023
hCoV-19/Shanghai/SCDC-XG04-2952/2023	EPI_ISL_17618778	BF.7.14.1	4/18/2023	China	Shanghai		BF.7.14*	4/18/2023
hCoV-19/Shanghai/SCDC-XG04-2922/2023	EPI_ISL_17618763	FY.3.3	4/23/2023	China	Shanghai		XBB.1.22.1*	4/23/2023
hCoV-19/Shanghai/SCDC-XG04-2904/2023	EPI_ISL_17618729	CH.1.1	4/18/2023	China	Shanghai		BA.2.75*	4/18/2023
hCoV-19/Shanghai/SCDC-XG04-2842/2023	EPI_ISL_17618634	BF.7.14.1	4/12/2023	China	Shanghai		BF.7.14*	4/12/2023
hCoV-19/Shanghai/SCDC-XG04-2797/2023	EPI_ISL_17618588	XBL.2	4/19/2023	China	Shanghai		Others	4/19/2023
hCoV-19/Shanghai/SCDC-XG04-2771/2023	EPI_ISL_17618547	BF.7.14.1	4/10/2023	China	Shanghai		BF.7.14*	4/10/2023
hCoV-19/Shanghai/SCDC-XG04-2755/2023	EPI_ISL_17618516	DY.1	4/19/2023	China	Shanghai		BA.5.2.48*	4/19/2023
hCoV-19/Shanghai/SCDC-XG04-2742/2023	EPI_ISL_17618509	DY.1	4/17/2023	China	Shanghai		BA.5.2.48*	4/17/2023
hCoV-19/Shanghai/SCDC-XG04-2740/2023	EPI_ISL_17618505	DY.1	4/18/2023	China	Shanghai		BA.5.2.48*	4/18/2023
hCoV-19/Shanghai/SCDC-XG04-2737/2023	EPI_ISL_17618499	DY.1	4/18/2023	China	Shanghai		BA.5.2.48*	4/18/2023
hCoV-19/Shanghai/SCDC-XG04-2729/2023	EPI_ISL_17618484	DY.1	4/17/2023	China	Shanghai		BA.5.2.48*	4/17/2023
hCoV-19/Shanghai/SCDC-XG04-2723/2023	EPI_ISL_17618478	FL.13.1	4/19/2023	China	Shanghai		XBB.1.9.1*	4/19/2023
hCoV-19/Shanghai/SCDC-XG04-2720/2023	EPI_ISL_17618475	XBB.1.5	4/19/2023	China	Shanghai		XBB.1.5*	4/19/2023
hCoV-19/Shanghai/SCDC-XG04-2711/2023	EPI_ISL_17618466	DY.4	4/17/2023	China	Shanghai		BA.5.2.48*	4/17/2023
hCoV-19/Shanghai/SCDC-XG04-2708/2023	EPI_ISL_17618463	DY.4	4/17/2023	China	Shanghai		BA.5.2.48*	4/17/2023
hCoV-19/Shanghai/SCDC-XG04-2707/2023	EPI_ISL_17618462	DY.4	4/17/2023	China	Shanghai		BA.5.2.48*	4/17/2023
hCoV-19/Shanghai/SCDC-HP-XG-0421-01/2023	EPI_ISL_17618432	GF.1	4/21/2023	China	Shanghai		XBB.1.5*	4/21/2023
hCoV-19/Shanghai/SCDC-HG0427-364/2023	EPI_ISL_17618411	BN.1.2	4/25/2023	China	Shanghai		BA.2.75*	4/25/2023
hCoV-19/Shanghai/SCDC-HG0423-302/2023	EPI_ISL_17618352	CH.1.1.17	4/21/2023	China	Shanghai		BA.2.75*	4/21/2023
hCoV-19/Shanghai/SCDC-HP-XG-0417-4/2023	EPI_ISL_17618319	BF.7.14	4/16/2023	China	Shanghai		BF.7.14*	4/16/2023
hCoV-19/Shanghai/SCDC-HP-XG-0414-2/2023	EPI_ISL_17618313	BQ.1.1.18	4/14/2023	China	Shanghai		Others	4/14/2023
hCoV-19/Shanghai/SCDC-HG0419-251/2023	EPI_ISL_17618284	XBL.3	4/19/2023	China	Shanghai		Others	4/19/2023
hCoV-19/Shanghai/SCDC-HG0419-246/2023	EPI_ISL_17618279	XBL.3	4/19/2023	China	Shanghai		Others	4/19/2023
hCoV-19/Hubei/HCDC-0977/2023	EPI_ISL_17615015	FR.1.1	4/25/2023	China	Hubei	Xiaogan	BA.2.75*	4/25/2023
hCoV-19/Hubei/HCDC-0976/2023	EPI_ISL_17615007	FL.4.2	4/25/2023	China	Hubei	Huanggang	XBB.1.9.1*	4/25/2023
hCoV-19/Hubei/HCDC-0963/2023	EPI_ISL_17614989	GF.1	4/25/2023	China	Hubei	Huanggang	XBB.1.5*	4/25/2023
hCoV-19/Hubei/HCDC-0984/2023	EPI_ISL_17614986	FL.13.1	4/25/2023	China	Hubei	Xiangyang	XBB.1.9.1*	4/25/2023
hCoV-19/Henan/XYCDC-0702/2023	EPI_ISL_17584980	DY.4	4/2/2023	China	Henan	Xinyang	BA.5.2.48*	4/2/2023
hCoV-19/Henan/XYCDC-0701/2023	EPI_ISL_17584979	BA.5.2.49	3/30/2023	China	Henan	Xinyang	Others	3/30/2023
hCoV-19/Hong Kong/HK-HKPU-PUN537678614/2022	EPI_ISL_17581985	CM.12	12/9/2022	China	Hong Kong		Others	12/9/2022
hCoV-19/Hong Kong/HK-HKPU-PUN686148846/2022	EPI_ISL_17581969	CM.12	12/28/2022	China	Hong Kong		Others	12/28/2022
hCoV-19/Hong Kong/HK-HKPU-PUN538270260/2022	EPI_ISL_17581957	BN.1.3.9	12/24/2022	China	Hong Kong		BA.2.75*	12/24/2022
hCoV-19/Hong Kong/HK-HKPU-PUN687063534/2022	EPI_ISL_17581942	CM.12	12/17/2022	China	Hong Kong		Others	12/17/2022
hCoV-19/Hong Kong/HK-HKPU-PUN531584804/2022	EPI_ISL_17581941	CM.12	12/15/2022	China	Hong Kong		Others	12/15/2022
hCoV-19/Hong Kong/HK-HKPU-PUN538006466/2022	EPI_ISL_17581933	CM.12	12/9/2022	China	Hong Kong		Others	12/9/2022
hCoV-19/Hong Kong/HK-HKPU-PUN533932567/2022	EPI_ISL_17581931	CM.12	12/8/2022	China	Hong Kong		Others	12/8/2022
hCoV-19/Hong Kong/HK-HKPU-PUN538261326/2022	EPI_ISL_17581926	CM.12	12/6/2022	China	Hong Kong		Others	12/6/2022
hCoV-19/Hong Kong/HK-HKPU-PUN537274173/2022	EPI_ISL_17581924	CM.12	12/4/2022	China	Hong Kong		Others	12/4/2022
hCoV-19/Hong Kong/HK-HKPU-PUN685603612/2022	EPI_ISL_17581918	BN.3.1	12/1/2022	China	Hong Kong		BA.2.75*	12/1/2022
hCoV-19/Hong Kong/HK-HKPU-PUN537974647/2022	EPI_ISL_17581727	BA.5.2.1	12/30/2022	China	Hong Kong		Others	12/30/2022
hCoV-19/Hong Kong/HK-HKPU-PUN686994224/2022	EPI_ISL_17581705	BA.5.2	12/19/2022	China	Hong Kong		Others	12/19/2022
hCoV-19/Hong Kong/HK-HKPU-PUN686171759/2022	EPI_ISL_17581702	CP.8	12/19/2022	China	Hong Kong		Others	12/19/2022
hCoV-19/Hong Kong/HK-HKPU-PUN536061273/2022	EPI_ISL_17581701	BA.5.2.1	12/19/2022	China	Hong Kong		Others	12/19/2022
hCoV-19/Hong Kong/HK-HKPU-PUN537362021/2022	EPI_ISL_17581696	BF.7	12/18/2022	China	Hong Kong		Others	12/18/2022
hCoV-19/Hong Kong/HK-HKPU-PUN534353668/2022	EPI_ISL_17581695	BA.5.2.1	12/17/2022	China	Hong Kong		Others	12/17/2022
hCoV-19/Hong Kong/HK-HKPU-PUN536064760/2022	EPI_ISL_17581694	BA.5.2.1	12/17/2022	China	Hong Kong		Others	12/17/2022
hCoV-19/Hong Kong/HK-HKPU-PUN531736531/2022	EPI_ISL_17581685	BA.5.2.1	12/12/2022	China	Hong Kong		Others	12/12/2022
hCoV-19/Hong Kong/HK-HKPU-PUN533865533/2022	EPI_ISL_17581684	BF.7.14.2	12/11/2022	China	Hong Kong		BF.7.14*	12/11/2022
hCoV-19/Hong Kong/HK-HKPU-PUN534527429/2022	EPI_ISL_17581681	BA.5.2.13	12/11/2022	China	Hong Kong		Others	12/11/2022
hCoV-19/Hong Kong/HK-HKPU-PUN534031261/2022	EPI_ISL_17581665	BA.5.2.1	12/4/2022	China	Hong Kong		Others	12/4/2022
hCoV-19/Hong Kong/HK-HKPU-PUN386761216/2022	EPI_ISL_17581657	BA.5.2.1	12/2/2022	China	Hong Kong		Others	12/2/2022
hCoV-19/Hong Kong/HK-HKPU-PUN530943185/2022	EPI_ISL_17581655	BQ.1.1	12/1/2022	China	Hong Kong		Others	12/1/2022
hCoV-19/Hong Kong/HK-HKPU-PUN686148943/2022	EPI_ISL_17581257	BA.5.2.24	12/28/2022	China	Hong Kong		Others	12/28/2022
hCoV-19/Hong Kong/HK-HKPU-PUN534633032/2022	EPI_ISL_17581255	BQ.1.2.1	12/27/2022	China	Hong Kong		Others	12/27/2022
hCoV-19/Hong Kong/HK-HKPU-PUN53649322A/2022	EPI_ISL_17581253	BQ.1.2.1	12/20/2022	China	Hong Kong		Others	12/20/2022
hCoV-19/Hong Kong/HK-HKPU-PUN536677282/2022	EPI_ISL_17581252	BQ.1.2.1	12/18/2022	China	Hong Kong		Others	12/18/2022
hCoV-19/Sichuan/MYCDC-XGCX080/2023	EPI_ISL_17563562	BF.7.14	4/19/2023	China	Sichuan	Mianyang	BF.7.14*	4/19/2023
hCoV-19/Sichuan/MYCDC-XGCX077/2023	EPI_ISL_17563560	BF.7.14	4/8/2023	China	Sichuan	Mianyang	BF.7.14*	4/8/2023
hCoV-19/Sichuan/MYCDC-XGCX075/2023	EPI_ISL_17563558	BF.7.14	4/7/2023	China	Sichuan	Mianyang	BF.7.14*	4/7/2023
hCoV-19/Sichuan/MYCDC-XGCX074/2023	EPI_ISL_17563557	DY.2	4/7/2023	China	Sichuan	Mianyang	BA.5.2.48*	4/7/2023
hCoV-19/Henan/LYCDC-0021/2023	EPI_ISL_17563544	BF.7.14.1	3/10/2023	China	Henan	Luoyang	BF.7.14*	3/10/2023
hCoV-19/Henan/LYCDC-0019/2023	EPI_ISL_17563542	BF.7.14.1	3/10/2023	China	Henan	Luoyang	BF.7.14*	3/10/2023
hCoV-19/Fujian/FCDC-QZ-S018/2023	EPI_ISL_17547547	DY.4	4/13/2023	China	Fujian	Quanzhou	BA.5.2.48*	4/13/2023
hCoV-19/Fujian/FCDC-FZLG1020/2023	EPI_ISL_17547531	BF.7.14.2	4/3/2023	China	Fujian	Fuzhou	BF.7.14*	4/3/2023
hCoV-19/Hubei/LHCDC-0134/2023	EPI_ISL_17545761	BF.7.14	3/26/2023	China	Hubei	Luohe	BF.7.14*	3/26/2023
hCoV-19/Henan/KFCDC-0116/2023	EPI_ISL_17545743	BF.7.14.7	4/23/2023	China	Henan	Kaifeng	BF.7.14*	4/23/2023
hCoV-19/Hubei/HCDC-091/2023	EPI_ISL_17545718	FY.3.2	4/14/2023	China	Hubei	Jingmen	XBB.1.22.1*	4/14/2023
hCoV-19/Shanxi/SXCDC-086/2023	EPI_ISL_17545713	BF.7.14.1	4/11/2023	China	Shanxi		BF.7.14*	4/11/2023
hCoV-19/Shanxi/SXCDC-080/2023	EPI_ISL_17545707	BF.7.14.1	4/11/2023	China	Shanxi		BF.7.14*	4/11/2023
hCoV-19/Hubei/HCDC-067/2023	EPI_ISL_17545694	BF.7.14	4/13/2023	China	Hubei	Huangshi	BF.7.14*	4/13/2023
hCoV-19/Hubei/HCDC-WH024/2023	EPI_ISL_17545651	DY.4	4/14/2023	China	Hubei	Wuhan	BA.5.2.48*	4/14/2023
hCoV-19/Henan/LHCDC-021/2023	EPI_ISL_17545648	DY.4	3/25/2023	China	Henan	Luohe	BA.5.2.48*	3/25/2023
hCoV-19/Shanxi/SXCDC-08/2023	EPI_ISL_17545635	DY.2	4/11/2023	China	Shanxi		BA.5.2.48*	4/11/2023
hCoV-19/Hong Kong/VB23035755/2023	EPI_ISL_17539474	FR.1.2	4/17/2023	China	Hong Kong		BA.2.75*	4/17/2023
hCoV-19/Hong Kong/VB23030536/2023	EPI_ISL_17539448	FK.1.1.2	4/12/2023	China	Hong Kong		BA.2.75*	4/12/2023
hCoV-19/Hong Kong/VB23028562/2023	EPI_ISL_17539427	BN.1.2.2	4/5/2023	China	Hong Kong		BA.2.75*	4/5/2023
