strain,lineage,country,province,date
EPI_ISL_17547597,XBB.2.3,China,Yunnan,4/16/2023
EPI_ISL_17547626,BF.7.14,China,Yunnan,4/16/2023
EPI_ISL_17879917,XBB.1.5.24,China,Anhui,4/17/2023
EPI_ISL_17794627,XBB.1.9.1,China,Jiangxi,4/17/2023
EPI_ISL_17783582,DY.2,China,Henan,4/17/2023
EPI_ISL_17633679,BN.1.2.2,China,Hong Kong,4/17/2023
EPI_ISL_17619262,BN.1.3,China,Shanghai,4/17/2023
EPI_ISL_17618509,DY.1,China,Shanghai,4/17/2023
EPI_ISL_17618484,DY.1,China,Shanghai,4/17/2023
EPI_ISL_17618466,DY.4,China,Shanghai,4/17/2023
EPI_ISL_17618463,DY.4,China,Shanghai,4/17/2023
EPI_ISL_17618462,DY.4,China,Shanghai,4/17/2023
EPI_ISL_17539474,BN.1.2.3,China,Hong Kong,4/17/2023
EPI_ISL_17698066,DY.3,China,Guangdong,4/17/2023
EPI_ISL_17698043,XBB.2.3,China,Guangdong,4/17/2023
EPI_ISL_17652386,BF.7.14.1,China,Others,4/17/2023
EPI_ISL_17652383,XBB.1.16,China,Others,4/17/2023
EPI_ISL_17785093,DY.2,China,Beijing,4/17/2023
EPI_ISL_17645522,BF.7.14.1,China,Heilongjiang,4/17/2023
EPI_ISL_17620357,XBB.2.3,China,Yunnan,4/17/2023
EPI_ISL_17547636,XBB.2.3,China,Yunnan,4/17/2023
EPI_ISL_17547629,DY.1.1,China,Yunnan,4/17/2023
EPI_ISL_17830322,FL.4,China,Gansu,4/18/2023
EPI_ISL_17794475,DY.2,China,Jiangxi,4/18/2023
EPI_ISL_17794473,FL.2,China,Jiangxi,4/18/2023
EPI_ISL_17783601,XBB.1.19.1,China,Henan,4/18/2023
EPI_ISL_17766859,BN.1.3,China,Taiwan,4/18/2023
EPI_ISL_17766856,XBB.2.3.2,China,Taiwan,4/18/2023
EPI_ISL_17766855,BN.1.3.5,China,Taiwan,4/18/2023
EPI_ISL_17684459,DY.2,China,Henan,4/18/2023
EPI_ISL_17637492,XBB.1.9.1,China,Jiangsu,4/18/2023
EPI_ISL_17637476,EU.1.1,China,Jiangsu,4/18/2023
EPI_ISL_17625566,DY.2,China,Shanghai,4/18/2023
EPI_ISL_17625417,DY.2,China,Shanghai,4/18/2023
EPI_ISL_17618778,BF.7.14.1,China,Shanghai,4/18/2023
EPI_ISL_17618729,CH.1.1,China,Shanghai,4/18/2023
EPI_ISL_17618505,DY.1,China,Shanghai,4/18/2023
EPI_ISL_17618499,DY.1,China,Shanghai,4/18/2023
EPI_ISL_17697634,XBB.1.16.1,China,Guangdong,4/18/2023
EPI_ISL_17652396,DY.2,China,Others,4/18/2023
EPI_ISL_17652384,XBB.1.16,China,Others,4/18/2023
EPI_ISL_17785063,BF.7.14.1,China,Beijing,4/18/2023
EPI_ISL_17785059,BF.7.14.1,China,Beijing,4/18/2023
EPI_ISL_17645574,BF.7.14.1,China,Heilongjiang,4/18/2023
EPI_ISL_17645570,DY.2,China,Heilongjiang,4/18/2023
EPI_ISL_17547639,XBB.1.16,China,Yunnan,4/18/2023
EPI_ISL_17783598,XBB.1.5,China,Henan,4/19/2023
EPI_ISL_17783594,DY.2,China,Henan,4/19/2023
EPI_ISL_17637503,BN.1.2.3,China,Sichuan,4/19/2023
EPI_ISL_17637463,XBB.1.16.1,China,Jiangsu,4/19/2023
EPI_ISL_17637372,BF.7.14,China,Jiangsu,4/19/2023
EPI_ISL_17618588,XBL,China,Shanghai,4/19/2023
EPI_ISL_17618516,DY.1,China,Shanghai,4/19/2023
EPI_ISL_17618478,XBB.1.9.1,China,Shanghai,4/19/2023
EPI_ISL_17618475,XBB.1.5,China,Shanghai,4/19/2023
EPI_ISL_17618284,XBL,China,Shanghai,4/19/2023
EPI_ISL_17618279,XBL,China,Shanghai,4/19/2023
EPI_ISL_17563562,BF.7.14,China,Sichuan,4/19/2023
EPI_ISL_17836319,BF.7.14,China,Xinjiang,4/19/2023
EPI_ISL_17698048,XBB.1.9.1,China,Guangdong,4/19/2023
EPI_ISL_17652376,XBB.1.5,China,Others,4/19/2023
EPI_ISL_17998779,DY.2,China,Gansu,4/20/2023
EPI_ISL_17783607,XBB.1.16,China,Henan,4/20/2023
EPI_ISL_17729607,XBF,China,Taiwan,4/20/2023
EPI_ISL_17637504,DY.2,China,Sichuan,4/20/2023
EPI_ISL_17625599,DY.1,China,Shanghai,4/20/2023
EPI_ISL_17625580,BF.7.14.1,China,Shanghai,4/20/2023
EPI_ISL_17618787,BN.1.3.5,China,Shanghai,4/20/2023
EPI_ISL_17794022,XBL.3,China,Jiangsu,4/20/2023
EPI_ISL_17697615,BA.5.2.48,China,Guangdong,4/20/2023
EPI_ISL_17652379,XBB.1.9.1,China,Others,4/20/2023
EPI_ISL_17785195,XBB.2.3.2,China,Beijing,4/20/2023
EPI_ISL_17785123,FL.12,China,Beijing,4/20/2023
EPI_ISL_17689843,BN.1.2.3,China,Hong Kong,4/21/2023
EPI_ISL_17637479,EU.1.1,China,Jiangsu,4/21/2023
EPI_ISL_17632952,XBB.1.16,China,Sichuan,4/21/2023
EPI_ISL_17632951,BF.7.14,China,Sichuan,4/21/2023
EPI_ISL_17625583,CH.1.1.1,China,Shanghai,4/21/2023
EPI_ISL_17619027,BF.7.14.1,China,Shanghai,4/21/2023
EPI_ISL_17619017,BF.7.14,China,Shanghai,4/21/2023
EPI_ISL_17618963,DY.4,China,Shanghai,4/21/2023
EPI_ISL_17618432,XBB.1.5.24,China,Shanghai,4/21/2023
EPI_ISL_17618352,CH.1.1.17,China,Shanghai,4/21/2023
EPI_ISL_17697674,XBB.1.9.2,China,Guangdong,4/21/2023
EPI_ISL_17785208,XBB.2.3.6,China,Beijing,4/21/2023
EPI_ISL_17785169,XBB.1.5.24,China,Beijing,4/21/2023
EPI_ISL_17785132,XBB.1.16.1,China,Beijing,4/21/2023
EPI_ISL_17620340,BN.1.2.3,China,Yunnan,4/21/2023
EPI_ISL_17620319,XBB.1.9.1,China,Yunnan,4/21/2023
EPI_ISL_17620320,XBB.1.9.1,China,Yunnan,4/21/2023
EPI_ISL_17794815,BF.7.14.5,China,Jiangxi,4/22/2023
EPI_ISL_17794634,DY.3,China,Jiangxi,4/22/2023
EPI_ISL_17794629,FY.3,China,Jiangxi,4/22/2023
EPI_ISL_17712580,BN.1.3,China,Taiwan,4/22/2023
EPI_ISL_17712553,FB.1,China,Taiwan,4/22/2023
EPI_ISL_17689375,BF.7.14,China,Fujian,4/22/2023
EPI_ISL_17684461,XBB.1.24,China,Henan,4/22/2023
EPI_ISL_17619180,BN.1.2,China,Shanghai,4/22/2023
EPI_ISL_17619166,DY.4,China,Shanghai,4/22/2023
EPI_ISL_17795646,FY.3,China,Jiangsu,4/22/2023
EPI_ISL_17697898,BN.1.2,China,Guangdong,4/22/2023
EPI_ISL_17785172,FL.2,China,Beijing,4/22/2023
EPI_ISL_17808144,XBB.2.3.6,China,Anhui,4/23/2023
EPI_ISL_17808141,XBB.2.3.6,China,Anhui,4/23/2023
EPI_ISL_17801893,XBB.2.3.6,China,Anhui,4/23/2023
EPI_ISL_17801892,XBB.2.3.6,China,Anhui,4/23/2023
EPI_ISL_17801890,XBB.2.3.6,China,Anhui,4/23/2023
EPI_ISL_17801889,XBB.2.3.6,China,Anhui,4/23/2023
EPI_ISL_17794507,FU.1,China,Jiangxi,4/23/2023
EPI_ISL_17678315,DY.1,China,Shanghai,4/23/2023
EPI_ISL_17637478,EU.1.1,China,Jiangsu,4/23/2023
EPI_ISL_17637414,XBB.1.16.1,China,Jiangsu,4/23/2023
EPI_ISL_17633752,CH.1.1,China,Hong Kong,4/23/2023
EPI_ISL_17625537,BQ.1.1.13,China,Shanghai,4/23/2023
EPI_ISL_17625522,BN.1.2.3,China,Shanghai,4/23/2023
EPI_ISL_17625460,DY.1,China,Shanghai,4/23/2023
EPI_ISL_17619042,BQ.1.1.13,China,Shanghai,4/23/2023
EPI_ISL_17619006,XBB.1.22.1,China,Shanghai,4/23/2023
EPI_ISL_17618763,XBB.1.22.1,China,Shanghai,4/23/2023
EPI_ISL_17545743,BF.7.14.7,China,Henan,4/23/2023
EPI_ISL_17795692,FR.1,China,Jiangsu,4/23/2023
EPI_ISL_17795649,EG.5.1,China,Jiangsu,4/23/2023
EPI_ISL_17795060,FY.3,China,Jiangsu,4/23/2023
EPI_ISL_17698010,XBB.1.9.2,China,Guangdong,4/23/2023
EPI_ISL_17698041,XBB.1.9.2,China,Guangdong,4/23/2023
EPI_ISL_17698125,XBB.1.9.2,China,Guangdong,4/23/2023
EPI_ISL_17697745,XBL,China,Guangdong,4/23/2023
EPI_ISL_17698006,XBB.1.16,China,Guangdong,4/23/2023
EPI_ISL_17785173,FU.1,China,Beijing,4/23/2023
EPI_ISL_17645582,XBB.1.9.1,China,Heilongjiang,4/23/2023
EPI_ISL_17783627,XBB.1.5,China,Henan,4/24/2023
EPI_ISL_17783620,DY.4,China,Henan,4/24/2023
EPI_ISL_17783591,BF.7.14,China,Henan,4/24/2023
EPI_ISL_17772236,BN.1.2,China,Taiwan,4/24/2023
EPI_ISL_17714277,XBB.1.16.1,China,Henan,4/24/2023
EPI_ISL_17714276,XBB.1.5,China,Henan,4/24/2023
EPI_ISL_17712573,CH.1.1.1,China,Taiwan,4/24/2023
EPI_ISL_17711258,XBB.2.3.2,China,Taiwan,4/24/2023
EPI_ISL_17696922,XBB.1.9.1,China,Henan,4/24/2023
EPI_ISL_17672070,XBB.1.9.1,China,Others,4/24/2023
EPI_ISL_17646126,XBB.1.22.1,China,Shanghai,4/24/2023
EPI_ISL_17646005,XBB.1.22.1,China,Shanghai,4/24/2023
EPI_ISL_17637477,XBB.1.5.24,China,Jiangsu,4/24/2023
EPI_ISL_17633717,XBB.1.24,China,Hong Kong,4/24/2023
EPI_ISL_17633716,XBB.1.5,China,Hong Kong,4/24/2023
EPI_ISL_17625605,DY.1,China,Shanghai,4/24/2023
EPI_ISL_17625281,XBB.1.16,China,Hubei,4/24/2023
EPI_ISL_17836313,BF.7.14,China,Xinjiang,4/24/2023
EPI_ISL_17795651,FY.3,China,Jiangsu,4/24/2023
EPI_ISL_17697768,BF.7.14.4,China,Guangdong,4/24/2023
EPI_ISL_17697562,XBB.2.3,China,Guangdong,4/24/2023
EPI_ISL_17698229,BN.1.2,China,Guangdong,4/24/2023
EPI_ISL_17698009,BF.7.14,China,Guangdong,4/24/2023
EPI_ISL_17697790,BN.1.2,China,Guangdong,4/24/2023
EPI_ISL_17697875,XBB.1.5,China,Guangdong,4/24/2023
EPI_ISL_17698249,DY.3,China,Guangdong,4/24/2023
EPI_ISL_17697916,XBL,China,Guangdong,4/24/2023
EPI_ISL_17785217,XBB.1.5.24,China,Beijing,4/24/2023
EPI_ISL_17785124,BF.7.14.1,China,Beijing,4/24/2023
EPI_ISL_17645603,BA.5.1.32,China,Heilongjiang,4/24/2023
EPI_ISL_17645602,BA.5.1.32,China,Heilongjiang,4/24/2023
EPI_ISL_17645593,XBB.1.9.1,China,Heilongjiang,4/24/2023
EPI_ISL_18013084,FL.4,China,Anhui,4/25/2023
EPI_ISL_17783615,XBB.1.5,China,Henan,4/25/2023
EPI_ISL_17775123,XBB.1.5.12,China,Others,4/25/2023
EPI_ISL_17775078,FR.1,China,Others,4/25/2023
EPI_ISL_17711251,BN.1.3.6,China,Taiwan,4/25/2023
EPI_ISL_17689753,CH.1.1.17,China,Hong Kong,4/25/2023
EPI_ISL_17684475,BF.7.14,China,Gansu,4/25/2023
EPI_ISL_17664564,BN.1.3,China,Sichuan,4/25/2023
EPI_ISL_17633726,XBB.1.16.1,China,Hong Kong,4/25/2023
EPI_ISL_17625487,XBB.1.9.1,China,Shanghai,4/25/2023
EPI_ISL_17625403,XBB.1.9.1,China,Hubei,4/25/2023
EPI_ISL_17618411,BN.1.2,China,Shanghai,4/25/2023
EPI_ISL_17615015,FR.1,China,Hubei,4/25/2023
EPI_ISL_17615007,FL.4,China,Hubei,4/25/2023
EPI_ISL_17614989,XBB.1.5.24,China,Hubei,4/25/2023
EPI_ISL_17614986,XBB.1.9.1,China,Hubei,4/25/2023
EPI_ISL_17697950,XBB.1.16,China,Guangdong,4/25/2023
EPI_ISL_17698059,DY.3,China,Guangdong,4/25/2023
EPI_ISL_17697679,BN.1.2,China,Guangdong,4/25/2023
EPI_ISL_17698025,XBL,China,Guangdong,4/25/2023
EPI_ISL_17698086,XBB.1.5.24,China,Guangdong,4/25/2023
EPI_ISL_17785174,FR.1,China,Beijing,4/25/2023
EPI_ISL_17785146,XBB.1.5.24,China,Beijing,4/25/2023
EPI_ISL_17625740,DY.1,China,Gansu,4/25/2023
EPI_ISL_17625739,DY.1,China,Gansu,4/25/2023
EPI_ISL_17951399,DY.2,China,Shanxi,4/26/2023
EPI_ISL_17951385,BF.7.14,China,Shanxi,4/26/2023
EPI_ISL_17951302,BF.7.14.1,China,Shanxi,4/26/2023
EPI_ISL_17775087,BF.7.14,China,Others,4/26/2023
EPI_ISL_17775082,FR.1,China,Others,4/26/2023
EPI_ISL_17689272,XBB.1.9.1,China,Anhui,4/26/2023
EPI_ISL_17684184,BF.7.14,China,Sichuan,4/26/2023
EPI_ISL_17684183,BF.7.14,China,Sichuan,4/26/2023
EPI_ISL_17664608,XBB.1.9.2,China,Sichuan,4/26/2023
EPI_ISL_17652409,XBB.1.9.1,China,Others,4/26/2023
EPI_ISL_17625647,XBB.1.16,China,Shanghai,4/26/2023
EPI_ISL_17625574,BN.1.2,China,Shanghai,4/26/2023
EPI_ISL_17625570,DY.4,China,Shanghai,4/26/2023
EPI_ISL_17625521,BN.1.2,China,Shanghai,4/26/2023
EPI_ISL_17625504,BN.1.3.5,China,Shanghai,4/26/2023
EPI_ISL_17625438,XBB.1.16,China,Shanghai,4/26/2023
EPI_ISL_17625372,BF.7.14.4,China,Hubei,4/26/2023
EPI_ISL_17619142,XBL,China,Shanghai,4/26/2023
EPI_ISL_17619084,XBB.1.9.2,China,Shanghai,4/26/2023
EPI_ISL_17836382,BA.5.2.50,China,Xinjiang,4/26/2023
EPI_ISL_17836386,BA.5.2.50,China,Xinjiang,4/26/2023
EPI_ISL_17836423,FL.5,China,Xinjiang,4/26/2023
EPI_ISL_17795694,FR.1,China,Jiangsu,4/26/2023
EPI_ISL_17795592,FL.1,China,Jiangsu,4/26/2023
EPI_ISL_17795589,FY.3,China,Jiangsu,4/26/2023
EPI_ISL_17795570,EG.5.1,China,Jiangsu,4/26/2023
EPI_ISL_17736028,XBB.1.9.1,China,Sichuan,4/26/2023
EPI_ISL_17697770,XBB.1.9.1,China,Guangdong,4/26/2023
EPI_ISL_17697710,XBB.1.5,China,Guangdong,4/26/2023
EPI_ISL_17697945,EG.1,China,Guangdong,4/26/2023
EPI_ISL_17698132,EG.1,China,Guangdong,4/26/2023
EPI_ISL_17697825,BF.7.14.5,China,Guangdong,4/26/2023
EPI_ISL_17697747,BF.7.14.5,China,Guangdong,4/26/2023
EPI_ISL_17698113,DY.3,China,Guangdong,4/26/2023
EPI_ISL_17698078,XBB.1.9.1,China,Guangdong,4/26/2023
EPI_ISL_17785140,XBB.2.3.7,China,Beijing,4/26/2023
EPI_ISL_17785113,XBB.1.16,China,Beijing,4/26/2023
EPI_ISL_17785112,XBB.1.16,China,Beijing,4/26/2023
EPI_ISL_17785111,XBB.1.16,China,Beijing,4/26/2023
EPI_ISL_17785110,XBB.1.16,China,Beijing,4/26/2023
EPI_ISL_18009788,FR.1,China,Beijing,4/27/2023
EPI_ISL_17999066,BA.5.2.50,China,Xinjiang,4/27/2023
EPI_ISL_17794897,BN.1.2,China,Jiangxi,4/27/2023
EPI_ISL_17794820,BF.7.14.5,China,Jiangxi,4/27/2023
EPI_ISL_17775135,FL.2,China,Others,4/27/2023
EPI_ISL_17762910,XBB.1.16,China,Hong Kong,4/27/2023
EPI_ISL_17729970,XBB.1.16,China,Others,4/27/2023
EPI_ISL_17711238,XBF,China,Taiwan,4/27/2023
EPI_ISL_17703974,BF.7.14.2,China,Fujian,4/27/2023
EPI_ISL_17689444,XBB.1.9.1,China,Fujian,4/27/2023
EPI_ISL_17689426,BF.7.14,China,Fujian,4/27/2023
EPI_ISL_17684416,FL.5,China,Hubei,4/27/2023
EPI_ISL_17678358,XBB.1.22.1,China,Shanghai,4/27/2023
EPI_ISL_17633733,XBB.1.5,China,Hong Kong,4/27/2023
EPI_ISL_17625414,XBB.1.9.1,China,Hubei,4/27/2023
EPI_ISL_17625385,FR.1,China,Hubei,4/27/2023
EPI_ISL_17625312,XBB.1.16.1,China,Hubei,4/27/2023
EPI_ISL_17625285,XBB.1.5.24,China,Hubei,4/27/2023
EPI_ISL_17625283,XBB.1.16,China,Hubei,4/27/2023
EPI_ISL_17836231,DY.2,China,Xinjiang,4/27/2023
EPI_ISL_17836258,FU.1,China,Xinjiang,4/27/2023
EPI_ISL_17836388,BA.5.2.50,China,Xinjiang,4/27/2023
EPI_ISL_17836427,FL.5,China,Xinjiang,4/27/2023
EPI_ISL_17795684,FL.2,China,Jiangsu,4/27/2023
EPI_ISL_17794036,EU.1.1,China,Jiangsu,4/27/2023
EPI_ISL_17697994,XBB.1.9.1,China,Guangdong,4/27/2023
EPI_ISL_17698074,XBB.1.9.1,China,Guangdong,4/27/2023
EPI_ISL_17697952,XBB.1.9.1,China,Guangdong,4/27/2023
EPI_ISL_17652347,XBB.1.16,China,Anhui,4/27/2023
EPI_ISL_17785155,XBB.2.3.6,China,Beijing,4/27/2023
EPI_ISL_17785152,BF.7.14.1,China,Beijing,4/27/2023
EPI_ISL_17785129,XBB.1.9.6,China,Beijing,4/27/2023
EPI_ISL_17785128,XBB.1.9.6,China,Beijing,4/27/2023
EPI_ISL_17633007,BF.7.14.1,China,Yunnan,4/27/2023
EPI_ISL_18009771,FR.1,China,Beijing,4/28/2023
EPI_ISL_17951306,FL.2,China,Shanxi,4/28/2023
EPI_ISL_17794898,BN.1.2,China,Jiangxi,4/28/2023
EPI_ISL_17794649,EG.5.1,China,Jiangxi,4/28/2023
EPI_ISL_17794517,XBB.1.16,China,Jiangxi,4/28/2023
EPI_ISL_17793979,XBB.1.5,China,Anhui,4/28/2023
EPI_ISL_17714260,XBB.1.9.1,China,Zhejiang,4/28/2023
EPI_ISL_17714255,XBB.1.9.1,China,Zhejiang,4/28/2023
EPI_ISL_17689327,XBB.2.3,China,Fujian,4/28/2023
EPI_ISL_17684418,FL.5,China,Hubei,4/28/2023
EPI_ISL_17684350,BN.1.2.3,China,Hubei,4/28/2023
EPI_ISL_17684185,BF.7.14,China,Sichuan,4/28/2023
EPI_ISL_17645777,BN.1.2,China,Shanghai,4/28/2023
EPI_ISL_17645457,EG.5.1,China,Hubei,4/28/2023
EPI_ISL_17633735,XBB.1.9.1,China,Hong Kong,4/28/2023
EPI_ISL_17625458,XBL,China,Shanghai,4/28/2023
EPI_ISL_17625420,XBB.1.16,China,Shanghai,4/28/2023
EPI_ISL_17625367,XBB.1.9.1,China,Hubei,4/28/2023
EPI_ISL_17625360,FL.2,China,Hubei,4/28/2023
EPI_ISL_17625260,FY.3.1,China,Hubei,4/28/2023
EPI_ISL_17697572,XBB.1.16.1,China,Guangdong,4/28/2023
EPI_ISL_17697673,XBB.1.24,China,Guangdong,4/28/2023
EPI_ISL_17697692,EG.1,China,Guangdong,4/28/2023
EPI_ISL_17698019,BN.1.3.9,China,Guangdong,4/28/2023
EPI_ISL_17684075,XBB.1.9.1,China,Yunnan,4/28/2023
EPI_ISL_17632990,BF.7.14.1,China,Yunnan,4/28/2023
EPI_ISL_18009796,EG.1,China,Beijing,4/29/2023
EPI_ISL_18009792,XBB.1.42,China,Beijing,4/29/2023
EPI_ISL_17794901,BN.1.2,China,Jiangxi,4/29/2023
EPI_ISL_17794522,BF.7.14.5,China,Jiangxi,4/29/2023
EPI_ISL_17794516,FR.1,China,Jiangxi,4/29/2023
EPI_ISL_17793980,XBB.1.5.24,China,Anhui,4/29/2023
EPI_ISL_17775067,FL.2,China,Others,4/29/2023
EPI_ISL_17689773,CH.1.1.17,China,Hong Kong,4/29/2023
EPI_ISL_17684355,BN.1.2.3,China,Hubei,4/29/2023
EPI_ISL_17684177,XBB.1.9.1,China,Sichuan,4/29/2023
EPI_ISL_17672047,EG.5.1,China,Hubei,4/29/2023
EPI_ISL_17664563,BN.1.3,China,Sichuan,4/29/2023
EPI_ISL_17664553,BN.1.3,China,Sichuan,4/29/2023
EPI_ISL_17645947,XBB.1.5,China,Shanghai,4/29/2023
EPI_ISL_17645438,FY.3.1,China,Hubei,4/29/2023
EPI_ISL_17625401,XBB.1.16,China,Hubei,4/29/2023
EPI_ISL_17836237,XBB.1.16,China,Xinjiang,4/29/2023
EPI_ISL_17836254,FL.4,China,Xinjiang,4/29/2023
EPI_ISL_17795732,XBB.1.5,China,Jiangsu,4/29/2023
EPI_ISL_17697642,XBB.1.9.2,China,Guangdong,4/29/2023
EPI_ISL_17652398,XBB.1.9.1,China,Gansu,4/29/2023
EPI_ISL_17620291,XBB.1.5.24,China,Anhui,4/29/2023
EPI_ISL_18013085,XBB.1.5,China,Anhui,4/30/2023
EPI_ISL_18009769,FU.1,China,Beijing,4/30/2023
EPI_ISL_18009754,XBB.1.9.6,China,Beijing,4/30/2023
EPI_ISL_18009713,FU.1,China,Beijing,4/30/2023
EPI_ISL_18009711,FL.2.3,China,Beijing,4/30/2023
EPI_ISL_17951414,FL.2,China,Shanxi,4/30/2023
EPI_ISL_17951292,XBB.1.19.1,China,Shanxi,4/30/2023
EPI_ISL_17951289,XBB.1.19.1,China,Shanxi,4/30/2023
EPI_ISL_17951288,XBB.1.19.1,China,Shanxi,4/30/2023
EPI_ISL_17951287,XBB.1.19.1,China,Shanxi,4/30/2023
EPI_ISL_17794904,BN.1.2,China,Jiangxi,4/30/2023
EPI_ISL_17793982,XBB.1.16.1,China,Anhui,4/30/2023
EPI_ISL_17744649,XBB.1.22.1,China,Yunnan,4/30/2023
EPI_ISL_17744647,XBB.1.9.1,China,Yunnan,4/30/2023
EPI_ISL_17689762,XBB.1.5.24,China,Hong Kong,4/30/2023
EPI_ISL_17689760,XBB.1.9.1,China,Hong Kong,4/30/2023
EPI_ISL_17689421,XBB.1.16.1,China,Fujian,4/30/2023
EPI_ISL_17684168,BN.1.2.3,China,Sichuan,4/30/2023
EPI_ISL_17684110,XBB.1.9.1,China,Sichuan,4/30/2023
EPI_ISL_17682108,BN.1.2.3,China,Taiwan,4/30/2023
EPI_ISL_17678333,XBB.1.5,China,Shanghai,4/30/2023
EPI_ISL_17659222,BF.7.14,China,Beijing,4/30/2023
EPI_ISL_17645770,BN.1.3,China,Shanghai,4/30/2023
EPI_ISL_17836348,BF.7.14,China,Xinjiang,4/30/2023
EPI_ISL_17836349,FL.5,China,Xinjiang,4/30/2023
EPI_ISL_17645635,EG.1,China,Heilongjiang,4/30/2023
EPI_ISL_17645634,EG.1,China,Heilongjiang,4/30/2023
EPI_ISL_18009907,BF.7.14,China,Beijing,5/1/2023
EPI_ISL_18009891,FL.5,China,Beijing,5/1/2023
EPI_ISL_18009890,XBB.1.9.6,China,Beijing,5/1/2023
EPI_ISL_18009772,DY.2,China,Beijing,5/1/2023
EPI_ISL_18009719,FL.13.1,China,Beijing,5/1/2023
EPI_ISL_18009718,GF.1,China,Beijing,5/1/2023
EPI_ISL_17794530,XBB.1.5.24,China,Jiangxi,5/1/2023
EPI_ISL_17775074,XBB.1.16,China,Others,5/1/2023
EPI_ISL_17775073,XBB.1.5.59,China,Others,5/1/2023
EPI_ISL_17765924,XBB.1.9.1,China,Anhui,5/1/2023
EPI_ISL_17765918,FL.4,China,Anhui,5/1/2023
EPI_ISL_17765909,XBB.1.9.1,China,Anhui,5/1/2023
EPI_ISL_17765894,FL.2,China,Anhui,5/1/2023
EPI_ISL_17765869,XBB.1.5.12,China,Anhui,5/1/2023
EPI_ISL_17765866,FE.1.1,China,Anhui,5/1/2023
EPI_ISL_17765865,FR.1,China,Anhui,5/1/2023
EPI_ISL_17765859,FE.1.1,China,Anhui,5/1/2023
EPI_ISL_17765839,XBB.2.3.6,China,Anhui,5/1/2023
EPI_ISL_17729976,XBB.1.9.1,China,Others,5/1/2023
EPI_ISL_17725323,DY.4,China,Shanghai,5/1/2023
EPI_ISL_17684421,FR.1.3,China,Hubei,5/1/2023
EPI_ISL_17684115,BN.1.3.5,China,Sichuan,5/1/2023
EPI_ISL_17678327,XBB.1.9.1,China,Shanghai,5/1/2023
EPI_ISL_17645955,DY.2,China,Shanghai,5/1/2023
EPI_ISL_17645787,DY.1,China,Shanghai,5/1/2023
EPI_ISL_17645717,XBB.1.16,China,Shanghai,5/1/2023
EPI_ISL_17645513,FL.2,China,Hubei,5/1/2023
EPI_ISL_17645454,FY.3,China,Hubei,5/1/2023
EPI_ISL_17645437,FL.4,China,Hubei,5/1/2023
EPI_ISL_17784874,XBB.1.16,China,Anhui,5/1/2023
EPI_ISL_17729760,XBB.1.5.24,China,Anhui,5/1/2023
EPI_ISL_17729759,XBB.1.16,China,Anhui,5/1/2023
EPI_ISL_17697639,XBB.1.9.2,China,Guangdong,5/1/2023
EPI_ISL_17698023,EG.1,China,Guangdong,5/1/2023
EPI_ISL_17697706,XBB.1.16.1,China,Guangdong,5/1/2023
EPI_ISL_17697766,XBB.2.3,China,Guangdong,5/1/2023
EPI_ISL_17697932,EG.1,China,Guangdong,5/1/2023
EPI_ISL_17697909,XBB.1.9.1,China,Guangdong,5/1/2023
EPI_ISL_17697603,XBB.2.3,China,Guangdong,5/1/2023
EPI_ISL_17645645,XBB.1.5.24,China,Heilongjiang,5/1/2023
EPI_ISL_18009782,GF.1,China,Beijing,5/2/2023
EPI_ISL_18009780,BF.7.14,China,Beijing,5/2/2023
EPI_ISL_18009779,GF.1,China,Beijing,5/2/2023
EPI_ISL_18009775,FR.1.1,China,Beijing,5/2/2023
EPI_ISL_18009770,FL.4,China,Beijing,5/2/2023
EPI_ISL_18009734,FL.4,China,Beijing,5/2/2023
EPI_ISL_17999078,DY.2,China,Xinjiang,5/2/2023
EPI_ISL_17999068,XBB.1.16,China,Xinjiang,5/2/2023
EPI_ISL_17988249,FR.1,China,Jiangsu,5/2/2023
EPI_ISL_17794827,BF.7.14.5,China,Jiangxi,5/2/2023
EPI_ISL_17794532,FY.3,China,Jiangxi,5/2/2023
EPI_ISL_17794523,FY.3,China,Jiangxi,5/2/2023
EPI_ISL_17794364,XBB.2.3.2,China,Jiangxi,5/2/2023
EPI_ISL_17794355,FY.3,China,Jiangxi,5/2/2023
EPI_ISL_17725350,DY.1,China,Shanghai,5/2/2023
EPI_ISL_17714258,XBB.1.9.1,China,Zhejiang,5/2/2023
EPI_ISL_17714254,XBB.1.16,China,Zhejiang,5/2/2023
EPI_ISL_17703729,CH.1.1.1,China,Taiwan,5/2/2023
EPI_ISL_17703727,BN.1.2,China,Taiwan,5/2/2023
EPI_ISL_17696973,XBB.1.16,China,Henan,5/2/2023
EPI_ISL_17696849,XBB.1.9.1,China,Shanghai,5/2/2023
EPI_ISL_17684365,BN.1.2.3,China,Hubei,5/2/2023
EPI_ISL_17684170,BN.1.2.3,China,Sichuan,5/2/2023
EPI_ISL_17678346,XBB.1.9.1,China,Shanghai,5/2/2023
EPI_ISL_17655955,BN.1.3,China,Taiwan,5/2/2023
EPI_ISL_17645742,BN.1.2.3,China,Shanghai,5/2/2023
EPI_ISL_17645458,FR.1,China,Hubei,5/2/2023
EPI_ISL_17625405,XBB.1.9.1,China,Hubei,5/2/2023
EPI_ISL_17625382,FL.13.1,China,Hubei,5/2/2023
EPI_ISL_17625373,FU.1,China,Hubei,5/2/2023
EPI_ISL_17625343,BF.7.14,China,Hubei,5/2/2023
